"date","num","num2","str","str2"
"2014-01-08","761","542.302293","boy","yellow"
"2014-01-27","937","164.349334","girl","yellow"
"2014-02-10","769","864.067359","girl","red"
"2014-05-04","103","721.467328","boy","red"
"2014-05-20","825","619.294303","girl","purple"
"2014-06-03","399","264.865544","boy","blue"
"2014-06-25","354","241.980505","boy","purple"
"2014-07-01","733","365.925302","boy","green"
"2014-07-13","403","266.174438","girl","green"
"2014-08-10","414","148.851650","boy","red"
"2014-09-20","832","645.044838","girl","yellow"
"2014-10-03","467","775.216310","girl","purple"
"2014-10-11","836","246.703954","boy","red"
"2014-10-26","832","176.077269","boy","green"
"2014-12-03","995","364.463017","girl","red"
"2014-12-07","757","26.868982","boy","green"
"2015-01-01","859","762.338035","girl","blue"
"2015-01-16","892","829.506649","boy","blue"
"2015-02-02","632","299.445411","boy","purple"
"2015-03-30","645","379.321741","boy","green"
"2015-05-03","65","923.042037","girl","blue"
"2015-05-26","920","713.354986","girl","green"
"2015-05-27","220","90.297181","girl","blue"
"2015-07-21","608","928.816318","girl","purple"
"2015-08-22","918","998.003955","boy","yellow"
"2015-09-18","470","653.187070","girl","purple"
"2015-10-02","294","283.625725","boy","blue"
"2015-10-07","648","166.119223","boy","blue"
"2015-10-07","907","258.311698","boy","blue"
"2015-10-26","272","600.845710","girl","red"
"2015-11-27","142","130.746675","girl","purple"
"2015-12-02","520","909.841944","girl","yellow"
"2015-12-04","632","245.525497","boy","purple"
"2015-12-21","473","618.721436","boy","purple"
"2016-01-15","523","939.034245","boy","red"
"2016-01-16","429","482.564893","boy","purple"
"2016-01-24","224","561.483881","girl","green"
"2016-02-25","448","205.376398","boy","yellow"
"2016-02-27","701","67.124598","girl","blue"
"2016-03-15","445","809.479610","girl","purple"
"2016-03-19","340","243.628523","girl","yellow"
"2016-04-26","469","550.502147","boy","yellow"
"2016-05-02","111","876.703803","girl","yellow"
"2016-05-12","136","707.764276","girl","blue"
"2016-08-23","278","552.311479","boy","blue"
"2016-08-23","556","340.476086","boy","yellow"
"2016-08-25","676","960.530289","boy","green"
"2016-09-09","704","307.872280","boy","yellow"
"2016-09-11","708","347.889754","boy","red"
"2016-09-19","715","326.192485","boy","yellow"
