"date","num","num2","str","str2"
"2014-01-05","812","651.446474","boy","blue"
"2014-01-11","542","983.883924","girl","blue"
"2014-03-18","447","672.442321","girl","blue"
"2014-03-21","22","164.101462","girl","red"
"2014-04-04","417","394.196322","girl","red"
"2014-05-08","844","420.283074","boy","blue"
"2014-06-22","21","558.153809","girl","red"
"2014-07-08","702","63.290766","girl","green"
"2014-07-08","150","663.375300","girl","purple"
"2014-07-16","951","862.221685","boy","green"
"2014-08-18","160","893.535079","boy","red"
"2014-08-18","996","371.075594","girl","red"
"2014-09-12","365","937.473023","boy","green"
"2014-09-22","138","692.616591","girl","red"
"2014-09-23","496","634.566290","boy","purple"
"2014-10-13","855","690.113270","girl","red"
"2014-10-18","156","182.228086","boy","red"
"2014-10-30","80","514.355177","boy","blue"
"2015-01-27","118","594.052453","boy","blue"
"2015-01-30","190","462.999114","girl","red"
"2015-02-12","395","780.104603","girl","blue"
"2015-02-22","28","640.842161","girl","purple"
"2015-03-07","611","340.794383","girl","blue"
"2015-03-16","549","274.998593","boy","yellow"
"2015-04-23","793","404.277412","girl","green"
"2015-05-05","902","92.632725","girl","purple"
"2015-05-12","792","833.815566","boy","green"
"2015-05-15","172","172.347395","girl","blue"
"2015-05-24","508","271.628345","girl","purple"
"2015-06-22","482","444.366696","boy","red"
"2015-09-23","825","24.984884","girl","yellow"
"2015-10-25","43","141.355947","boy","yellow"
"2015-10-27","175","722.484579","boy","purple"
"2015-12-23","157","203.807615","girl","red"
"2016-01-17","911","341.850960","girl","yellow"
"2016-01-21","304","922.499324","boy","green"
"2016-03-18","638","60.734478","boy","green"
"2016-05-11","826","637.607208","boy","green"
"2016-05-30","791","213.838203","boy","yellow"
"2016-06-11","524","583.130116","girl","red"
"2016-06-14","81","517.294921","girl","green"
"2016-07-02","946","285.753233","girl","yellow"
"2016-07-05","462","813.310466","girl","blue"
"2016-07-22","549","326.710982","boy","red"
"2016-07-27","917","992.210774","girl","yellow"
"2016-08-11","837","813.309477","girl","purple"
"2016-08-13","290","50.202163","boy","yellow"
"2016-08-22","609","698.640468","girl","blue"
"2016-09-06","809","248.943422","girl","green"
"2016-09-15","526","207.643700","boy","blue"
